Time & Date,Amount,Payment Provider,City,Order ID,Name,Quantity,Discount,Shipping,Status,Total Amount
2023-05-03 13:10:23,319,Razorpay,Ernakulam,11196,"Ruby (Only 1) Gloss Tube:Sample(3ml), Hibiscus Lip OIl",2,0.0,80.0,Successful,399.0
2022-12-25 20:07:04,570,Offline Payments,Bhopal,11195,"Woody (Only 1) Gloss Tube:Sample(1ml), Bills (Only 1) Gloss Tube:Sample(1ml), Bubblegum (Only 1) Gloss Tube:Sample(1ml), Sangria (Only 1) Gloss Tube:Sample(1ml), Ruby (Only 1) Gloss Tube:Sample(1ml), Poo (Only 1) Gloss Tube:Sample(1ml), Dinero (Only 1) Gloss Tube:Sample(1ml)",7,0.0,150.0,Successful,720.0
2022-12-22 23:41:54,448,Offline Payments,Bengaluru,11194,"Boujee Lip Oil, Hibiscus Lip OIl",2,0.0,150.0,Successful,598.0
2022-12-22 10:39:43,260,Razorpay,bangalore,11193,Dinero (Only 1) Gloss Tube:Sample(3ml),2,0.0,80.0,Successful,340.0
2022-11-21 12:46:52,468,Razorpay,Namburu,11192,"Brown Sugar Lip and Cheek Tint, Nudes, Cotton Candy Lip Scrub",3,0.0,80.0,Successful,548.0
2022-10-18 17:03:24,215,Razorpay,Gurugram,11191,"Woody (Only 1) Gloss Tube:Sample(1ml), Y2k Select an Option:Sample Gloss",2,0.0,80.0,Successful,295.0
2022-10-18 10:23:25,399,Offline Payments,Patna,11190,Bills (Only 1) Gloss Tube:Normal Wand,1,0.0,150.0,Successful,549.0
2022-08-25 20:35:35,170,Razorpay,faridabad,11189,Sangria (Only 1) Gloss Tube:Sample(3ml),1,0.0,80.0,Successful,250.0
2022-08-20 00:10:21,289,Razorpay,Sricity chittoor,11189,"Sangria (Only 1) Gloss Tube:Sample(1ml), Mandarin Lip and Cheek Tint",2,0.0,80.0,Successful,369.0
2022-08-19 14:36:09,739,Offline Payments,Ghaziabad,11187,Gloss Pack,1,0.0,150.0,Successful,889.0
2022-07-29 02:46:05,378,Offline Payments,Lucknow,11186,"Cotton Candy Lip Scrub, Lavendor Lip Oil",2,0.0,80.0,Successful,458.0
2022-07-26 13:37:14,489,Offline Payments,Muzaffarpur,11185,"Nudes, Bills (Only 1) Gloss Tube:Normal Wand",2,0.0,150.0,Successful,639.0
2022-07-26 10:47:25,299,Offline Payments,Bhiwandi,11184,Lavendor Lip Oil,1,0.0,150.0,Successful,449.0
2022-01-07 13:57:13,580,Razorpay,Bengaluru,11183,"Magic, Power, Sunrays, Sangria (Only 1) Gloss Tube:Sample(3ml), Woody (Only 1) Gloss Tube:Sample(3ml)",5,56.0,80.0,Successful,604.0
2022-06-30 10:50:00,170,Razorpay,Prayagraj,11182,Dinero (Only 1) Gloss Tube:Sample(3ml),1,0.0,80.0,Successful,250.0
2022-06-19 08:38:48,1044,Offline Payments,Agra,11181,"Brown Sugar Lip and Cheek Tint, Mandarin Lip and Cheek Tint",6,0.0,150.0,Successful,1194.0
2022-06-16 13:02:19,229,Razorpay,Haldwani,11180,Brown Sugar Lip and Cheek Tint,1,0.0,80.0,Successful,309.0
2022-06-16 08:33:56,378,Razorpay,Bangalore,11179,"Brown Sugar Lip and Cheek Tint, Lavendor Lip Oil",2,0.0,80.0,Successful,458.0
2022-06-15 16:34:20,525,Offline Payments,Mumbai,11178,"Magic, Sunrays, Power",3,0.0,150.0,Successful,675.0
2022-12-06 08:38:00,260,Razorpay,Bengaluru,11177,"Ruby (Only 1) Gloss Tube:Sample(1ml), Dinero (Only 1) Gloss Tube:Sample(1ml), Woody (Only 1) Gloss Tube:Sample(1ml)",3,0.0,80.0,Successful,340.0
2022-05-06 20:46:59,320,Offline Payments,Karjat,11176,"Ruby (Only 1) Gloss Tube:Sample(1ml), Dinero (Only 1) Gloss Tube:Sample(3ml), Sangria (Only 1) Gloss Tube:Sample(3ml)",3,0.0,80.0,Successful,400.0
2022-03-06 13:25:49,260,Razorpay,mumbai,11175,"Bills (Only 1) Gloss Tube:Sample(1ml), Bubblegum (Only 1) Gloss Tube:Sample(1ml)",3,0.0,80.0,Successful,340.0
